ms-powerautomate	Enabled	Executable	URL:ms-powerautomate				19/02/2023 19:57:52	
ms-powerautomatedesigner	Enabled	Executable	URL:ms-powerautomatedesigner				17/03/2023 17:38:27	
ms-print-addprinter	Enabled	Executable	URL:ms-print-addprinter				19/02/2023 19:19:11	
ms-print-printjobs	Enabled	Executable	URL:ms-print-printjobs				19/02/2023 19:19:11	
ms-print-queue	Enabled	Executable	URL:ms-print-queue				19/02/2023 19:55:57	
ms-quick-assist	Enabled	Executable	URL:ms-quick-assist				19/02/2023 19:56:32	
ms-rdx-document	Enabled	Executable		%SystemRoot%\system32\rundll32.exe %SystemRoot%\system32\RDXService,OpenRDXDocument %1			07/05/2022 05:28:02	
ms-retaildemo-launchbioenrollment	Enabled	Executable	URL:ms-retaildemo-launchbioenrollment				07/05/2022 05:28:02	
ms-retaildemo-launchstart	Enabled	Executable	URL:ms-retaildemo-launchstart				07/05/2022 05:28:02	
ms-screenclip	Enabled	Executable	URL:ms-screenclip				19/02/2023 19:19:11	
ms-screensketch	Enabled	Executable	URL:ms-screensketch				19/02/2023 19:19:11	
ms-search	Enabled	Executable	URL:ms-search				19/02/2023 19:19:11	
ms-settings	Enabled	Executable	URL:ms-settings				07/05/2022 05:28:02	
ms-settings-airplanemode	Enabled	Executable	URL:ms-settings-airplanemode				07/05/2022 05:28:02	
ms-settings-bluetooth	Enabled	Executable	URL:ms-settings-bluetooth				07/05/2022 05:28:02	
ms-settings-cellular	Enabled	Executable	URL:ms-settings-cellular				07/05/2022 05:28:02	
ms-settings-connectabledevices	Enabled	Executable	URL:Devices Flow Connectable Devices Protocol	"%SystemRoot%\system32\LaunchWinApp.exe" "%1"	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:02	
ms-settings-displays-topology	Enabled	Executable	URL:Devices Flow Display Topology Protocol	"%SystemRoot%\system32\LaunchWinApp.exe" "%1"	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:02	
ms-settings-emailandaccounts	Enabled	Executable	URL:ms-settings-emailandaccounts				07/05/2022 05:28:02	
ms-settings-language	Enabled	Executable	URL:ms-settings-language				07/05/2022 05:28:02	
ms-settings-location	Enabled	Executable	URL:ms-settings-location				07/05/2022 05:28:02	
ms-settings-lock	Enabled	Executable	URL:ms-settings-lock				07/05/2022 05:28:02	
ms-settings-mobilehotspot	Enabled	Executable	URL:ms-settings-mobilehotspot				07/05/2022 05:28:02	
ms-settings-notifications	Enabled	Executable	URL:ms-settings-notifications				07/05/2022 05:28:02	
ms-settings-power	Enabled	Executable	URL:ms-settings-power				07/05/2022 05:28:02	
ms-settings-privacy	Enabled	Executable	URL:ms-settings-privacy				07/05/2022 05:28:02	
ms-settings-proximity	Enabled	Executable	URL:ms-settings-proximity				07/05/2022 05:28:02	
ms-settings-screenrotation	Enabled	Executable	URL:ms-settings-screenrotation				07/05/2022 05:28:02	
ms-settings-wifi	Enabled	Executable	URL:ms-settings-wifi				07/05/2022 05:28:02	
ms-settings-workplace	Enabled	Executable	URL:ms-settings-workplace				07/05/2022 05:28:02	
ms-stickereditor	Enabled	Executable	URL:ms-stickereditor				19/02/2023 19:39:32	
ms-sttoverlay	Enabled	Executable	URL:ms-sttoverlay				19/02/2023 19:19:11	
ms-taskswitcher	Enabled	Executable	URL:ms-taskswitcher				07/05/2022 05:28:02	
ms-teams	Enabled	Executable	URL:ms-teams				19/02/2023 19:56:38	
ms-to-do	Enabled	Executable	URL:ms-to-do				19/02/2023 19:57:51	
ms-todo	Enabled	Executable	URL:ms-todo				19/02/2023 19:57:51	
ms-unistore-email	Enabled	Executable	URL:ms-unistore-email				19/02/2023 19:19:11	
ms-virtualtouchpad	Enabled	Executable	URL:Virtual Touchpad	"%SystemRoot%\system32\LaunchWinApp.exe" "%1"	Microsoft® Windows® Operating System	Microsoft Corporation	07/05/2022 05:28:02	
ms-voip-call	Enabled	Executable	URL:ms-voip-call				19/02/2023 19:19:11	
ms-voip-video	Enabled	Executable	URL:ms-voip-video				19/02/2023 19:19:11	
ms-walk-to	Enabled	Executable	URL:ms-walk-to				19/02/2023 19:19:11	
ms-wcrv	Enabled	Executable	URL:ms-wcrv				19/02/2023 19:19:11	
